date,state,county,city,college,cases,countyCovidProp,plan,enrollment2018,type,adjCases
8-Oct,Oregon,Marion,Salem,Willamette University,9,0.014473086,Hybrid,2363,"Private nonprofit, 4-year",0.003808718
8-Oct,Pennsylvania,Berks,Reading,Albright College,1,0.017781672,Hybrid,1934,"Private nonprofit, 4-year",0.000517063
8-Oct,Pennsylvania,Crawford,Meadville,Allegheny College,29,0.003923005,Fully in person,1771,"Private nonprofit, 4-year",0.016374929
8-Oct,Pennsylvania,Berks,Reading,Alvernia University,2,0.017781672,Primarily in person,2792,"Private nonprofit, 4-year",0.000716332
8-Oct,Pennsylvania,Montgomery,Glenslide,Arcadia University,6,0.015153175,Primarily online,3662,"Private nonprofit, 4-year",0.001638449
8-Oct,Pennsylvania,Columbia,Bloomsburg,Bloomsburg University of Pennsylvania,362,0.014869774,Fully online,8909,"Public, 4-year",0.040633068
8-Oct,Pennsylvania,Montgomery,Bryn Mawr,Bryn Mawr College,2,0.015153175,Primarily in person,1690,"Private nonprofit, 4-year",0.001183432
8-Oct,Pennsylvania,Union,Lewisburg,Bucknell University,19,0.01282194,Primarily in person,3668,"Private nonprofit, 4-year",0.005179935
8-Oct,Pennsylvania,Delaware,Radnor,Cabrini University,6,0.020961734,Hybrid,2285,"Private nonprofit, 4-year",0.002625821
8-Oct,Pennsylvania,Washington,California,California University of Pennsylvania,7,0.00710125,Fully online,7310,"Public, 4-year",0.000957592
8-Oct,Pennsylvania,Allegheny,Pittsburgh,Carnegie Mellon University,57,0.010605693,Primarily online,14029,"Private nonprofit, 4-year",0.004063012
8-Oct,Pennsylvania,Lehigh,Allentown,Cedar Crest College,1,0.015840008,Primarily online,1596,"Private nonprofit, 4-year",0.000626566
8-Oct,Pennsylvania,Allegheny,Pittsburgh,Chatham University,3,0.010605693,Primarily in person,2336,"Private nonprofit, 4-year",0.001284247
8-Oct,Pennsylvania,Philadelphia,Philadelphia,Chestnut Hill College,0,0.02415559,Fully online,1794,"Private nonprofit, 4-year",0
8-Oct,Pennsylvania,Delaware,Cheyney,Cheyney University of Pennsylvania,0,0.020961734,Primarily in person,466,"Public, 4-year",0
8-Oct,Pennsylvania,Clarion,Clarion,Clarion University of Pennsylvania,2,0.003772309,Primarily online,4864,"Public, 4-year",0.000411184
8-Oct,Pennsylvania,Lackawanna,South Abington Township,Clarks Summit University,0,0.013206215,Hybrid,768,"Private nonprofit, 4-year",0
8-Oct,Pennsylvania,Allegheny,Pittsburgh,Community College of Allegheny County,1,0.010605693,Primarily online,16086,"Public, 2-year",6.22E-05
8-Oct,Pennsylvania,Lehigh,Center Valley,DeSales University,5,0.015840008,Hybrid,3438,"Private nonprofit, 4-year",0.001454334
8-Oct,Pennsylvania,Bucks,Doylestown,Delaware Valley University,16,0.014541519,Primarily in person,2428,"Private nonprofit, 4-year",0.006589786
8-Oct,Pennsylvania,Cumberland,Carlisle,Dickinson College,0,0.007909382,Fully online,2399,"Private nonprofit, 4-year",0
8-Oct,Pennsylvania,Philadelphia,Philadelphia,Drexel University,28,0.02415559,Fully online,24634,"Private nonprofit, 4-year",0.00113664
8-Oct,Pennsylvania,Allegheny,Pittsburgh,Duquesne University,27,0.010605693,Hybrid,9274,"Private nonprofit, 4-year",0.002911365
8-Oct,Pennsylvania,Delaware,St. Davids,Eastern University,8,0.020961734,Primarily in person,3256,"Private nonprofit, 4-year",0.002457002
8-Oct,Pennsylvania,Lancaster,Elizabethtown,Elizabethtown College,11,0.015240305,Primarily in person,1687,"Private nonprofit, 4-year",0.006520451
8-Oct,Pennsylvania,Erie,Erie,Gannon University,40,0.006280401,Hybrid,4291,"Private nonprofit, 4-year",0.009321836
8-Oct,Pennsylvania,Beaver,Beaver Falls,Geneva College,6,0.012169903,Primarily in person,1543,"Private nonprofit, 4-year",0.003888529
8-Oct,Pennsylvania,Adams,Gettysburg,Gettysburg College,87,0.008707977,Primarily online,2441,"Private nonprofit, 4-year",0.035641131
8-Oct,Pennsylvania,Montgomery,Gwynedd Valley,Gwynedd Mercy University,0,0.015153175,Primarily online,3056,"Private nonprofit, 4-year",0
8-Oct,Pennsylvania,Delaware,Haverford,Haverford College,4,0.020961734,Hybrid,1310,"Private nonprofit, 4-year",0.003053435
8-Oct,Pennsylvania,Philadelphia,Philadelphia,Holy Family University,3,0.02415559,Hybrid,3089,"Private nonprofit, 4-year",0.000971188
8-Oct,Pennsylvania,Chester,Immaculata,Immaculata University,1,0.013718383,Primarily in person,2448,"Private nonprofit, 4-year",0.000408497
8-Oct,Pennsylvania,Indiana,Indiana,Indiana University of Pennsylvania,234,0.009670168,Hybrid,11483,"Public, 4-year",0.02037795
8-Oct,Pennsylvania,Huntingdon,Huntingdom,Juniata College,8,0.010942761,Hybrid,1433,"Private nonprofit, 4-year",0.005582694
8-Oct,Pennsylvania,Lackawanna,La Plume,Keystone College,0,0.013206215,Hybrid,1424,"Private nonprofit, 4-year",0
8-Oct,Pennsylvania,Allegheny,Pittsburgh,La Roche University,1,0.010605693,Primarily online,1443,"Private nonprofit, 4-year",0.000693001
8-Oct,Pennsylvania,Philadelphia,Philadelphia,La Salle University,15,0.02415559,Fully online,5191,"Private nonprofit, 4-year",0.002889617
8-Oct,Pennsylvania,Northampton,Easton,Lafayette College,8,0.01534304,Fully online,2642,"Private nonprofit, 4-year",0.003028009
8-Oct,Pennsylvania,Lancaster,Lancaster,Lancaster Bible College,2,0.015240305,Primarily in person,2122,"Private nonprofit, 4-year",0.000942507
8-Oct,Pennsylvania,Lebanon,Annville,Lebanon Valley College,0,0.015593153,Primarily in person,1922,"Private nonprofit, 4-year",0
8-Oct,Pennsylvania,Northampton,Bethlehem,Lehigh University,102,0.01534304,Primarily online,6849,"Private nonprofit, 4-year",0.014892685
8-Oct,Pennsylvania,Clinton,Lock Haven,Lock Haven University,61,0.00564299,Primarily online,3418,"Public, 4-year",0.017846694
8-Oct,Pennsylvania,Lycoming,Williamsport,Lycoming College,5,0.006805003,Primarily in person,1142,"Private nonprofit, 4-year",0.004378284
8-Oct,Pennsylvania,Tioga,Mansfield,Mansfield University of Pennsylvania,6,0.002512872,Primarily in person,1629,"Public, 4-year",0.003683241
8-Oct,Pennsylvania,Lackawanna,Scranton,Marywood University,10,0.013206215,Hybrid,2853,"Private nonprofit, 4-year",0.003505082
8-Oct,Pennsylvania,Erie,Erie,Mercyhurst University,8,0.006280401,Hybrid,2685,"Private nonprofit, 4-year",0.002979516
8-Oct,Pennsylvania,Lancaster,Millersville,Millersville University of Pennsylvania,61,0.015240305,Primarily online,7746,"Public, 4-year",0.007875032
8-Oct,Pennsylvania,Luzerne,Dallas,Misericordia University,3,0.013395628,Primarily in person,2566,"Private nonprofit, 4-year",0.001169135
8-Oct,Pennsylvania,Northampton,Bethlehem,Moravian College,6,0.01534304,Hybrid,2514,"Private nonprofit, 4-year",0.002386635
8-Oct,Pennsylvania,Cambria,Cresson,Mount Aloysius College,5,0.005384355,Primarily in person,1784,"Private nonprofit, 4-year",0.002802691
8-Oct,Pennsylvania,Lehigh,Allentown,Muhlenberg College,3,0.015840008,Fully online,2340,"Private nonprofit, 4-year",0.001282051
8-Oct,Pennsylvania,Delaware,Aston,Neumann University,3,0.020961734,Primarily online,2598,"Private nonprofit, 4-year",0.001154734
8-Oct,Pennsylvania,Lycoming,Williamsport,Pennsylvania College of Technology,58,0.006805003,Primarily in person,5322,"Public, 4-year",0.010898159
8-Oct,Pennsylvania,Allegheny,Pittsburgh,Point Park University,13,0.010605693,Hybrid,4099,"Private nonprofit, 4-year",0.003171505
8-Oct,Pennsylvania,Montgomery,Rosemont,Rosemont College,3,0.015153175,Hybrid,945,"Private nonprofit, 4-year",0.003174603
8-Oct,Pennsylvania,Westmoreland,Greensburg,Seton Hill University,8,0.007277178,Primarily in person,2297,"Private nonprofit, 4-year",0.003482804
8-Oct,Pennsylvania,Franklin,Shippensburg,Shippensburg University of Pennsylvania,33,0.011965658,Primarily online,6381,"Public, 4-year",0.005171603
8-Oct,Pennsylvania,Butler,Slippery Rock,Slippery Rock University of Pennsylvania,128,0.006254891,Primarily online,8803,"Public, 4-year",0.014540498
8-Oct,Pennsylvania,Snyder,Selinsgrove,Susquehanna University,1,0.010081244,Primarily in person,2396,"Private nonprofit, 4-year",0.000417362
8-Oct,Pennsylvania,Delaware,Swarthmore,Swarthmore College,9,0.020961734,Primarily online,1559,"Private nonprofit, 4-year",0.005772931
8-Oct,Pennsylvania,Philadelphia,Philadelphia,Temple University,528,0.02415559,Primarily online,39740,"Public, 4-year",0.013286361
8-Oct,Pennsylvania,Mercer,Greenville,Thiel College,1,0.007173929,Primarily in person,742,"Private nonprofit, 4-year",0.001347709
8-Oct,Pennsylvania,Philadelphia,Philadelphia,Thomas Jefferson University,77,0.02415559,Hybrid,7786,"Private nonprofit, 4-year",0.009889545
8-Oct,Pennsylvania,Philadelphia,Philadelphia,University of Pennsylvania,376,0.02415559,Fully online,25860,"Private nonprofit, 4-year",0.01453983
8-Oct,Pennsylvania,McKean,Bradford,"University of Pittsburgh, Bradford",0,0.001550769,Hybrid,1281,"Public, 4-year",0
8-Oct,Pennsylvania,Westmoreland,Greensburg,"University of Pittsburgh, Greensburg",1,0.007277178,Hybrid,1508,"Public, 4-year",0.00066313
8-Oct,Pennsylvania,Lackawanna,Scranton,University of Scranton,380,0.013206215,Hybrid,5286,"Private nonprofit, 4-year",0.071888006
8-Oct,Pennsylvania,Montgomery,Collegeville,Ursinus College,19,0.015153175,Primarily in person,1435,"Private nonprofit, 4-year",0.013240418
8-Oct,Pennsylvania,Delaware,Villanova,Villanova University,193,0.020961734,Primarily in person,11030,"Private nonprofit, 4-year",0.017497733
8-Oct,Pennsylvania,Greene,Waynesburg,Waynesburg University,5,0.005437033,Primarily in person,1674,"Private nonprofit, 4-year",0.002986858
8-Oct,Pennsylvania,Delaware,Chester,Widener University,25,0.020961734,Primarily online,6621,"Private nonprofit, 4-year",0.003775865
8-Oct,Pennsylvania,Luzerne,Wilkes-Barre,Wilkes University,34,0.013395628,Primarily online,5132,"Private nonprofit, 4-year",0.006625097
8-Oct,Pennsylvania,York,York,York College of Pennsylvania,27,0.011666644,Hybrid,4317,0,0.006254343
8-Oct,Rhode Island,Providence,Providence,Brown University,24,0.030732583,Primarily online,10257,"Private nonprofit, 4-year",0.002339865
8-Oct,Rhode Island,Providence,Smithfield,Bryant University,28,0.030732583,Primarily in person,3788,"Private nonprofit, 4-year",0.007391763
8-Oct,Rhode Island,Providence,Providence,Providence College,229,0.030732583,Fully online,4674,"Private nonprofit, 4-year",0.048994437
8-Oct,Rhode Island,Providence,Providence,Rhode Island College,7,0.030732583,Primarily online,7766,"Public, 4-year",0.000901365
8-Oct,Rhode Island,Providence,Providence,Rhode Island School of Design,4,0.030732583,Primarily online,2467,"Private nonprofit, 4-year",0.001621403
8-Oct,Rhode Island,Bristol,Bristol,Roger Williams University,21,0.00886982,Primarily in person,4860,"Private nonprofit, 4-year",0.004320988
8-Oct,Rhode Island,Newport,Newport,Salve Regina University,2,0.006639702,Primarily in person,2647,"Private nonprofit, 4-year",0.000755572
8-Oct,Rhode Island,Washington,Kingston,University of Rhode Island,192,0.007604896,Other,17777,"Public, 4-year",0.010800473
8-Oct,South Carolina,Richland,Columbia,Benedict College,6,0.038226473,Hybrid,2165,"Private nonprofit, 4-year",0.002771363
8-Oct,South Carolina,Charleston,North Charleston,Charleston Southern University,23,0.039134091,Primarily online,3414,"Private nonprofit, 4-year",0.006736965
8-Oct,South Carolina,Orangeburg,Orangeburg,Claflin University,1,0.036808819,Primarily online,2172,"Private nonprofit, 4-year",0.000460405
8-Oct,South Carolina,Pickens,Clemson,Clemson University,3770,0.026882822,Primarily online,24951,"Public, 4-year",0.151096148
8-Oct,South Carolina,Horry,Conway,Coastal Carolina University,306,0.030679421,Primarily online,10641,"Public, 4-year",0.028756696
8-Oct,South Carolina,Charleston,Charleston,College of Charleston,414,0.039134091,Primarily online,10783,"Public, 4-year",0.038393768
8-Oct,South Carolina,Spartanburg,Spartanburg,Converse College,5,0.022918523,Primarily in person,1380,"Private nonprofit, 4-year",0.003623188
8-Oct,South Carolina,Abbeville,Due West,Erskine College,0,0.026990663,Primarily in person,693,"Private nonprofit, 4-year",0
8-Oct,South Carolina,Florence,Florence,Francis Marion University,39,0.037008381,Primarily in person,3940,"Public, 4-year",0.009898477
8-Oct,South Carolina,Greenville,Greenville,Furman University,80,0.028910766,Hybrid,2947,"Private nonprofit, 4-year",0.02714625
8-Oct,South Carolina,Greenville,Greenville,Greenville Technical College,202,0.028910766,Primarily in person,10864,"Public, 2-year",0.01859352
8-Oct,South Carolina,Greenwood,Greenwood,Lander University,84,0.033045713,Hybrid,3044,"Public, 4-year",0.027595269
8-Oct,South Carolina,Cherokee,Gaffney,Limestone College,16,0.022024433,Primarily in person,2442,"Private nonprofit, 4-year",0.006552007
8-Oct,South Carolina,Newberry,Newberry,Newberry College,23,0.037539022,Primarily in person,1208,"Private nonprofit, 4-year",0.019039735
8-Oct,South Carolina,Greenville,Tigerville,North Greenville University,34,0.028910766,Primarily in person,2578,"Private nonprofit, 4-year",0.013188518
8-Oct,South Carolina,Laurens,Clinton,Presbyterian College,21,0.025898982,Primarily in person,1330,"Private nonprofit, 4-year",0.015789474
8-Oct,South Carolina,Pickens,Central,Southern Wesleyan University,6,0.026882822,Fully online,1551,"Private nonprofit, 4-year",0.003868472
8-Oct,South Carolina,Charleston,Charleston,The Citadel,121,0.039134091,Primarily in person,3763,"Public, 4-year",0.032155195
8-Oct,South Carolina,Spartanburg,Spartanburg,University of South Carolina Upstate,50,0.022918523,Hybrid,6175,"Public, 4-year",0.008097166
8-Oct,South Carolina,York,Rock Hill,Winthrop University,30,0.020400101,Primarily online,5813,"Public, 4-year",0.005160846
8-Oct,South Carolina,Spartanburg,Spartanburg,Wofford College,69,0.022918523,Primarily in person,1666,"Private nonprofit, 4-year",0.041416567
8-Oct,South Dakota,Lawrence,Spearfish,Black Hills State University,22,0.019849868,Fully in person,4035,"Public, 4-year",0.005452292
8-Oct,South Dakota,Lake,Madison,Dakota State University,8,0.017425959,Fully in person,3382,"Public, 4-year",0.002365464
8-Oct,South Dakota,Yankton,Yankton,Mount Marty College,21,0.021609538,Fully in person,1044,"Private nonprofit, 4-year",0.020114943
8-Oct,South Dakota,Brown,Aberdeen,Northern State University,45,0.036432452,Fully in person,3493,"Public, 4-year",0.012882909
8-Oct,South Dakota,Oglala Lakota,Kyle ,Oglala Lakota College,0,0.024687875,Fully online,1300,"Public, 4-year",0
8-Oct,South Dakota,Pennington,Rapid City ,South Dakota School of Mines and Technology,41,0.02517249,Hybrid,2654,"Public, 4-year",0.01544838
8-Oct,South Dakota,Brookings,Brookings,South Dakota State University,91,0.024603016,Hybrid,12104,"Public, 4-year",0.007518176
8-Oct,South Dakota,Minnehaha,Sioux Falls,University of Sioux Falls,31,0.038382677,Fully in person,1615,"Private nonprofit, 4-year",0.019195046
8-Oct,South Dakota,Clay,Vermillion,University of South Dakota,243,0.042857143,Primarily in person,10066,"Public, 4-year",0.024140672
8-Oct,Tennessee,Montgomery,Clarksville,Austin Peay State University,136,0.016067524,Hybrid,10954,"Public, 4-year",0.012415556
8-Oct,Tennessee,Davidson,Nashville,Belmont University,45,0.042916167,Primarily online,8260,"Private nonprofit, 4-year",0.005447942
8-Oct,Tennessee,Jefferson,Jefferson City,Carson-Newman University,129,0.023249839,Primarily in person,2560,"Private nonprofit, 4-year",0.050390625
8-Oct,Tennessee,Hamilton,Chattanooga,Chattanooga State Community College,50,0.028085611,Primarily online,8241,"Public, 2-year",0.006067225
8-Oct,Tennessee,Shelby,Memphis,Christian Brothers University,33,0.034692893,Primarily in person,2034,"Private nonprofit, 4-year",0.016224189
8-Oct,Tennessee,Bradley,Cleveland,Cleveland State Community College,41,0.029035242,Hybrid,3264,"Public, 2-year",0.012561275
8-Oct,Tennessee,Maury,Columbia,Columbia State Community College,46,0.026995342,Primarily online,6221,"Public, 2-year",0.00739431
8-Oct,Tennessee,Wilson,Lebanon,Cumberland University,50,0.026704549,Other,2405,"Private nonprofit, 4-year",0.020790021
8-Oct,Tennessee,Dyer,Dyersburg,Dyersburg State Community College,36,0.043031298,Primarily online,2977,"Public, 2-year",0.012092711
8-Oct,Tennessee,Washington,Johnson City,East Tennessee State University,240,0.019887923,Primarily online,14317,"Public, 4-year",0.016763288
8-Oct,Tennessee,Madison,Jackson,Jackson State Community College,39,0.033127858,Primarily online,4862,"Public, 2-year",0.00802139
8-Oct,Tennessee,Claiborne,Harrogate,Lincoln Memorial University,72,0.014456022,Primarily in person,4798,"Private nonprofit, 4-year",0.015006253
8-Oct,Tennessee,Davidson,Nashville,Lipscomb University,90,0.042916167,Primarily in person,4620,"Private nonprofit, 4-year",0.019480519
8-Oct,Tennessee,Rutherford,Murfreesboro,Middle Tennessee State University,277,0.030028439,Hybrid,21631,"Public, 4-year",0.012805696
8-Oct,Tennessee,Moore,Tullahoma,Motlow State Community College,26,0.031750925,Primarily online,6886,"Public, 2-year",0.003775777
8-Oct,Tennessee,Davidson,Nashville,Nashville State Community College,35,0.042916167,Hybrid,8284,"Public, 2-year",0.004225012
8-Oct,Tennessee,Sullivan,Blountville,Northeast State Community College,41,0.015668022,Hybrid,6139,"Public, 2-year",0.006678612
8-Oct,Tennessee,Knox,Knoxville,Pellissippi State Community College,23,0.023237716,Primarily online,10894,"Public, 2-year",0.002111254
8-Oct,Tennessee,Shelby,Memphis,Rhodes College,5,0.034692893,Fully online,2036,"Private nonprofit, 4-year",0.002455796
8-Oct,Tennessee,Roane,Harriman,Roane State Community College,48,0.01869544,Hybrid,5688,"Public, 2-year",0.008438819
8-Oct,Tennessee,Hamilton,Collegedale,Southern Adventist University,19,0.028085611,Fully in person,2942,"Private nonprofit, 4-year",0.006458192
8-Oct,Tennessee,Shelby,Memphis,Southwest Tennessee Community College,25,0.034692893,Primarily online,9347,"Public, 2-year",0.002674655
8-Oct,Tennessee,Davidson,Nashville,Tennessee State University,1,0.042916167,Hybrid,7774,"Public, 4-year",0.000128634
8-Oct,Tennessee,Putnam,Cookeville,Tennessee Technological University,408,0.04534862,Primarily in person,10186,"Public, 4-year",0.040054977
8-Oct,Tennessee,Davidson,Nashville,Trevecca Nazarene University,9,0.042916167,Primarily in person,3927,"Private nonprofit, 4-year",0.002291826
8-Oct,Tennessee,Greene,Greenville,Tusculum University,5,0.01821367,Primarily in person,1735,"Private nonprofit, 4-year",0.002881844
8-Oct,Tennessee,Madison,Jackson,Union University,62,0.033127858,Primarily in person,3247,"Private nonprofit, 4-year",0.019094549
8-Oct,Tennessee,Shelby,Memphis,University of Memphis,256,0.034692893,Primarily online,21458,"Public, 4-year",0.011930282
8-Oct,Tennessee,Hamilton,Chattanooga ,"University of Tennessee, Chattanooga",478,0.028085611,Primarily in person,11638,"Public, 4-year",0.041072349
8-Oct,Tennessee,Weakley,Martin,"University of Tennessee, Martin",266,0.039306289,Hybrid,7048,"Public, 4-year",0.037741203
8-Oct,Tennessee,Knox,Knoxville,"University of Tennessee, Knoxville",1562,0.023237716,Hybrid,28894,"Public, 4-year",0.054059666
8-Oct,Tennessee,Davidson,Nashville,Vanderbilt University,252,0.042916167,Other,12824,"Private nonprofit, 4-year",0.019650655
8-Oct,Tennessee,Sumner,Gallatin,Volunteer State Community College,54,0.026860725,Primarily online,9154,"Public, 2-year",0.005899061
8-Oct,Tennessee,Hamblen,Morristown,Walters State Community College,23,0.032248129,Primarily online,6144,"Public, 2-year",0.00374349
8-Oct,Texas,Taylor,Abilene,Abilene Christian University,101,0.024073779,Primarily in person,5204,"Private nonprofit, 4-year",0.019408148
8-Oct,Texas,Tom Green,San Angelo,Angelo State University,127,0.032986577,Hybrid,10387,"Public, 4-year",0.012226822
8-Oct,Texas,Grayson,Sherman,Austin College,77,0.014749068,Primarily in person,1299,"Private nonprofit, 4-year",0.059276366
8-Oct,Texas,McLennan,Waco,Baylor University,1102,0.03396422,Hybrid,17217,"Private nonprofit, 4-year",0.064006505
8-Oct,Texas,Washington,Brenham,Blinn College,158,0.01819854,Hybrid,21623,"Public, 2-year",0.007307034
8-Oct,Texas,Brazoria,Richwood,Brazosport College,1,0.031149135,Hybrid,4311,"Public, 4-year",0.000231965
8-Oct,Texas,Travis,Austin,Concordia University Texas,5,0.023546376,Hybrid,2568,"Private nonprofit, 4-year",0.00194704
8-Oct,Texas,Dallas,Dallas,Dallas Baptist University,46,0.033635159,Hybrid,4766,"Private nonprofit, 4-year",0.0096517
8-Oct,Texas,Harrison,Marshall,East Texas Baptist University,1,0.014109056,Hybrid,1613,"Private nonprofit, 4-year",0.000619963
8-Oct,Texas,Galveston,Galveston,Galveston College,4,0.034637969,Hybrid,2429,"Public, 2-year",0.001646768
8-Oct,Texas,Grayson,Dension,Grayson College,19,0.014749068,Hybrid,4372,"Public, 2-year",0.004345837
8-Oct,Texas,Taylor,Abilene,Hardin-Simmons University,16,0.024073779,Hybrid,2344,"Private nonprofit, 4-year",0.006825939
8-Oct,Texas,Hill,Hillsboro,Hill College,8,0.019727687,Primarily online,4447,"Public, 2-year",0.001798966
8-Oct,Texas,Harris,Houston,Houston Baptist University,2,0.031696096,Hybrid,3432,"Private nonprofit, 4-year",0.000582751
8-Oct,Texas,Jefferson,Beaumont,Lamar University,163,0.030640192,Primarily in person,14783,"Public, 4-year",0.011026179
8-Oct,Texas,Webb,Laredo,Laredo College,0,0.051693102,Undetermined,10181,"Public, 2-year",0
8-Oct,Texas,Gregg,Longview,LeTourneau University,47,0.023429747,Primarily in person,3175,"Private nonprofit, 4-year",0.01480315
8-Oct,Texas,Lubbock,Lubbock,Lubbock Christian University,25,0.042084046,Primarily in person,1805,"Private nonprofit, 4-year",0.013850416
8-Oct,Texas,McLennan,Waco,McLennan Community College,101,0.03396422,Hybrid,8955,"Public, 2-year",0.011278615
8-Oct,Texas,Taylor,Abilene,McMurry University,10,0.024073779,Hybrid,1132,"Private nonprofit, 4-year",0.008833922
8-Oct,Texas,Midland,Midland,Midland College,16,0.023072747,Primarily online,5452,"Public, 4-year",0.002934703
8-Oct,Texas,Wichita,Wichita Falls,Midwestern State University,51,0.016017545,Primarily online,6102,"Public, 4-year",0.008357915
8-Oct,Texas,Ector,Odessa,Odessa College,29,0.031084748,Undetermined,7083,"Public, 2-year",0.00409431
8-Oct,Texas,Harris,Houston,Rice University,105,0.031696096,Hybrid,7124,"Private nonprofit, 4-year",0.014738911
8-Oct,Texas,Walker,Huntsville,Sam Houston State University,476,0.051911033,Hybrid,21213,"Public, 4-year",0.02243907
8-Oct,Texas,Kerr,Kerriville,Schreiner University,22,0.011863118,Primarily in person,1418,"Private nonprofit, 4-year",0.01551481
8-Oct,Texas,Hidalgo,McAllen,South Texas College,154,0.037940295,Hybrid,31949,"Public, 4-year",0.004820182
8-Oct,Texas,Dallas,Dallas,Southern Methodist University,665,0.033635159,Hybrid,11649,"Private nonprofit, 4-year",0.057086445
8-Oct,Texas,Nacogdoches,Nacogdoches,Stephen F. Austin State University,231,0.025427888,Hybrid,13144,"Public, 4-year",0.017574559
8-Oct,Texas,Brewster,Alpine,Sul Ross State University,82,0.024231229,Primarily in person,2739,"Public, 4-year",0.029937934
8-Oct,Texas,Erath,Stephenville,Tarleton State University,277,0.021125111,Primarily in person,13109,"Public, 4-year",0.021130521
8-Oct,Texas,Tarrant,Fort Worth,Texas Christian University,1167,0.025346787,Hybrid,10918,"Private nonprofit, 4-year",0.106887708
8-Oct,Texas,Smith,Tyler,Texas College,1,0.022487551,Fully online,1042,"Private nonprofit, 4-year",0.000959693
8-Oct,Texas,Guadalupe,Seguin,Texas Lutheran University,9,0.02233783,Primarily in person,1443,"Private nonprofit, 4-year",0.006237006
8-Oct,Texas,Harris,Houston,Texas Southern University,1,0.031696096,Hybrid,9732,"Public, 4-year",0.000102754
8-Oct,Texas,Hays,San Marcos,Texas State University,674,0.026100065,Primarily in person,38644,"Public, 4-year",0.017441259
8-Oct,Texas,Lubbock,Lubbock,Texas Tech University,1768,0.042084046,Primarily in person,38209,"Public, 4-year",0.046271821
8-Oct,Texas,Tarrant,Fort Worth,Texas Wesleyan University,31,0.025346787,Hybrid,2236,"Private nonprofit, 4-year",0.013864043
8-Oct,Texas,Bexar,San Antonia,Trinity University,13,0.029530025,Hybrid,2637,"Private nonprofit, 4-year",0.004929845
8-Oct,Texas,Smith,Tyler,Tyler Junior College,97,0.022487551,Hybrid,10106,"Public, 4-year",0.009598258
8-Oct,Texas,Dallas,Irving,University of Dallas,8,0.033635159,Hybrid,2542,"Private nonprofit, 4-year",0.003147128
8-Oct,Texas,Harris,Houston,University of Houston,245,0.031696096,Primarily online,46324,"Public, 4-year",0.005288835
8-Oct,Texas,Harris,Houston,University of Houston-Clear Lake,46,0.031696096,Primarily online,8961,"Public, 4-year",0.005133356
8-Oct,Texas,Harris,Houston,University of Houston-Downtown,15,0.031696096,Primarily online,14265,"Public, 4-year",0.001051525
8-Oct,Texas,Victoria,Victoria,University of Houston-Victoria,30,0.044687459,Primarily online,4336,"Public, 4-year",0.006918819
8-Oct,Texas,Denton,Denton,University of North Texas,277,0.015647983,Hybrid,38241,"Public, 4-year",0.007243534
8-Oct,Texas,Dallas,Dallas,"University of North Texas, Dallas",10,0.033635159,Primarily online,3757,"Public, 4-year",0.002661698
8-Oct,Texas,Tarrant,Arlington,"University of Texas, Arlington",104,0.025346787,Hybrid,47899,"Public, 4-year",0.002171235
8-Oct,Texas,Travis,Austin,"University of Texas, Austin",1361,0.023546376,Hybrid,51832,"Public, 4-year",0.02625791
8-Oct,Texas,Dallas,Dallas,"University of Texas, Dallas",50,0.033635159,Hybrid,28755,"Public, 4-year",0.001738828
8-Oct,Texas,El Paso,El Paso,"University of Texas, El Paso",197,0.031495237,Primarily online,25151,"Public, 4-year",0.007832691
8-Oct,Texas,Bexar,San Antonio,"University of Texas, San Antonio",19,0.029530025,Hybrid,32264,"Public, 4-year",0.000588892
8-Oct,Texas,Smith,Tyler,"University of Texas, Tyler",96,0.022487551,Hybrid,10206,"Public, 4-year",0.009406232
8-Oct,Texas,Bexar,San Antonio,University of the Incarnate Word,37,0.029530025,Primarily online,8263,"Private nonprofit, 4-year",0.004477793
8-Oct,Texas,Hale,Plainview,Wayland Baptist University,51,0.060138897,Primarily in person,4504,"Private nonprofit, 4-year",0.011323268
8-Oct,Utah,Utah,Provo,Brigham Young University,1801,0.03389628,Primarily in person,34499,"Private nonprofit, 4-year",0.052204412
8-Oct,Utah,Washington,St. George,Dixie State University,110,0.020568159,Primarily in person,9950,"Public, 4-year",0.011055276
8-Oct,Utah,Salt Lake,Salt Lake City,Salt Lake Community College,124,0.030061089,Primarily online,29156,"Public, 2-year",0.004252984
8-Oct,Utah,Sanpete,Ephraim,Snow College,8,0.008209703,Fully in person,5514,"Public, 4-year",0.001450852
8-Oct,Utah,Iron,Cedar City,Southern Utah University,41,0.014825216,Primarily online,10196,"Public, 4-year",0.004021185
8-Oct,Utah,Salt Lake,Salt Lake City,University of Utah,694,0.030061089,Primarily online,33023,"Public, 4-year",0.021015656
8-Oct,Utah,Cache,Logan,Utah State University,638,0.02433568,Hybrid,27932,"Public, 4-year",0.022841186
8-Oct,Utah,Utah,Orem,Utah Valley University,311,0.03389628,Primarily online,39931,"Public, 4-year",0.007788435
8-Oct,Utah,Weber,Ogden,Weber State University,88,0.017889191,Hybrid,28247,"Public, 4-year",0.003115375
8-Oct,Vermont,Bennington,Bennington,Bennington College,3,0.003524105,Hybrid,811,"Private nonprofit, 4-year",0.003699137
8-Oct,Vermont,Rutland,Castleton,Castleton University,2,0.002251207,Fully online,2196,"Public, 4-year",0.000910747
